2009-01-02T13:08:00.000+01:00,Astoria,Cinema,Federica e Andrea
2009-01-03T14:44:00.000+01:00,Echuca,Sports,Gouya
2009-01-08T16:24:00.000+01:00,Phoenix,Cinema,jennifer
2009-01-09T06:39:00.000+01:00,Houston,Sports,Anneli
2009-01-07T07:44:00.000+01:00,Ball Ground,Cinema,Marie
2009-01-03T13:24:00.000+01:00,Helsingor,Sports,Mehmet Fatih
2009-01-03T10:11:00.000+01:00,Delray Beach,Cinema,Christiane
2009-01-09T15:58:00.000+01:00,Newbury,Sports,Sari
2009-01-10T14:43:00.000+01:00,Kinsaley,Cinema,Anupam
2009-01-10T12:05:00.000+01:00,Fort Lauderdale,Sports,Karina
2009-01-07T10:01:00.000+01:00,Pittsboro,Cinema,Darren
2009-01-01T01:26:00.000+01:00,New Rochelle,Sports,Nikki
2009-01-10T21:38:00.000+01:00,Maple Ridge District Municipality,Cinema,Anushka
2009-01-07T06:18:00.000+01:00,Beachwood,Sports,June
2009-01-02T06:07:00.000+01:00,Kemble,Cinema,Cindy
2009-01-12T03:25:00.000+01:00,W Lebanon,Sports,chrissy
2009-01-12T05:18:00.000+01:00,Southampton,Cinema,Bernadett
2009-01-08T15:16:00.000+01:00,Woodsboro,Sports,Dottie
2009-01-02T22:00:00.000+01:00,Memphis,Cinema,Lynne
2009-01-05T13:52:00.000+01:00,Morges,Sports,Tammy
2009-01-11T13:08:00.000+01:00,Cincinnati,Cinema,Rosa Maria
2009-01-12T19:04:00.000+01:00,Comox,Sports,Lydia
2009-01-13T05:57:00.000+01:00,Milan,Cinema,Robin
2009-01-13T06:13:00.000+01:00,Staten Island,Sports,Gitte
2009-01-07T19:50:00.000+01:00,Santa Monica,Cinema,Delphine
2009-01-01T20:28:00.000+01:00,Calgary,Sports,nathalie
2009-01-05T08:58:00.000+01:00,Telgte,Cinema,Marcia
2009-01-10T14:03:00.000+01:00,Cheltenham,Sports,Kevin
2009-01-14T04:54:00.000+01:00,Honolulu,Cinema,ZENA
2009-01-06T17:15:00.000+01:00,Bubuieci,Sports,Andrea
2009-01-12T07:28:00.000+01:00,La Alberca,Cinema,Megan
2009-01-06T15:15:00.000+01:00,Rathgar,Sports,Danielle
2009-01-06T21:13:00.000+01:00,Vancouver,Cinema,Kofi
2009-01-14T11:19:00.000+01:00,Jumeira,Sports,Jennifer
2009-01-15T02:40:00.000+01:00,Genoa,Cinema,Alexis
2009-01-12T06:40:00.000+01:00,Al 'Adliyah,Sports,Dez
2009-01-10T05:21:00.000+01:00,San Francisco,Cinema,CLARE
2009-01-15T04:12:00.000+01:00,Keller,Sports,catherine
